Kí hiệu,Số HĐ,Ngày lập,STT,Mã hàng,Tên hàng,Đơn vị,Số lượng,Đơn giá,Tỉ lệ chiết khấu,Tiền chiết khấu,Thành tiền,Thuế,Tổng tiền
C22THL,00000902,2022-06-27,***,***,***,***,***,***,***,***,***,***
***,***,***,1,AJAN3KGH,Hạt Nêm Aji - Ngon Heo 3kg (6 Gói/Thùng),Gói,18,133333.330000,N/A,0,2400000,8%
***,***,***,2,AJAV5KG,Bột Ngọt AV5kg Cánh Nhỏ (4 Gói/Thùng),Gói,20,245370.350000,N/A,0,4907407,8%
C22THL,00000902,2022-06-27,***,***,***,***,***,***,***,***,7307407,584593,7892000
C22TKD,00000419,2022-07-14,***,***,***,***,***,***,***,***,***,***
***,***,***,1,TMC,Phí dịch vụ cho thuê máy chủ  tháng 07.2022.,Tháng,1,320100000,N/A,0,320100000,10%
C22TKD,00000419,2022-07-14,***,***,***,***,***,***,***,***,320100000,32010000,352110000
C22TTH,00011594,2022-08-31,***,***,***,***,***,***,***,***,***,***
***,***,***,1,0037,Trà xanh không độ chai 455mlx24,Thùng,5,150000,N/A,0,750000,8%
***,***,***,2,0130,Trà Xanh C2 Hương Chanh 455mlx24,Thùng,5,162962.960000,N/A,0,814815,8%
***,***,***,0,DG,Mã đơn hàng: UO.220829.250443,N/A,0,0,N/A,0,0,N/A
C22TTH,00011594,2022-08-31,***,***,***,***,***,***,***,***,1564815,125185,1690000
C22TLV,00002262,2022-09-20,***,***,***,***,***,***,***,***,***,***
***,***,***,1,N/A,Phí dịch vụ tháng 8 năm 2022,Tháng,1,523636,0,0,523636,10%
C22TLV,00002262,2022-09-20,***,***,***,***,***,***,***,***,523636,52364,576000
C22TLV,00001400,2022-06-16,***,***,***,***,***,***,***,***,***,***
***,***,***,1,66693215,Phí dịch vụ tháng 05/2022 theo hợp đồng số 2020/LOZI.HDDV,Tháng,1,8219618,0,0,8219618,10%
C22TLV,00001400,2022-06-16,***,***,***,***,***,***,***,***,8219618,821962,9041580
C22TLV,00001400,2022-06-16,***,***,***,***,***,***,***,***,***,***
***,***,***,1,66693215,Phí dịch vụ tháng 05/2022 theo hợp đồng số 2020/LOZI.HDDV,Tháng,1,8219618,0,0,8219618,10%
C22TLV,00001400,2022-06-16,***,***,***,***,***,***,***,***,8219618,821962,9041580
C22TPT,00001981,2022-09-07,***,***,***,***,***,***,***,***,***,***
***,***,***,1,1111568,Sữa Đặc Hoàn Hảo Hộp Giấy,Hộp,156,48172,0.0000,0,7514832,8%
***,***,***,2,1109507,Sữa CGHL Dâu 180ml,Hộp,96,5752,0.0000,0,552192,8%
***,***,***,3,1109580,Sữa CGHL Dâu Bịch 220ml,Bịch,96,5332,0.0000,0,511872,8%
C22TPT,00001981,2022-09-07,***,***,***,***,***,***,***,***,8578896,686312,9265208
